"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"C1","1u","datasheets/CL21A105KBCLNNC.pdf","000_LOCAL:C_0805","1","","CL21A105KBCLNNC","CAP CER 1UF 50V X5R 0805 low profile"
"J1","SMS-138-01-G-S","datasheets/sms.pdf","000_LOCAL:SMS-138-01-x-x_pcb_edge","1","","SMS-138-01-G-S","01 x 13 x 1.27mm pitch female"
"R1","100k","datasheets/PYU-RC_GROUP_51.pdf","000_LOCAL:R_0805","1","","RC0805FR-07100KL","RES 100K OHM 1/8W 0805"
"SW1","CUS-13B","datasheets/cus.pdf","000_LOCAL:CUS-13B special","1","","CUS-13TB","Switch, 3 position, single pole 3 throw, 3 position switch, SP3T"
"U1","29F0x0","datasheets/29F0x0.pdf","000_LOCAL:TSOP32-dual","1","","SST39SF020A-70-4C-TU","64K 128K 256K 512K x 8 FLASH/EEPROM"
