"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","CR2016 3v","~","000_LOCAL:2016_battery_holder_smt","1","","Keystone 3026","BATTERY RETAINER COIN 20MM SMD"
"C1","1u","","000_LOCAL:C_0805_1mm","1","","CL21A105KBCLNNC","CAP CER 1UF 50V X5R 0805 low profile"
"C2,C3,C4","22u","","000_LOCAL:C_0805_1mm","3","","CL21A226MOCLRNC","CAP CER 22UF 16V X5R 0805 low profile"
"DA1","BAV170","datasheets/BAV170.pdf","000_LOCAL:SOT-23","1","","BAV170-7-F","DIODE ARRAY COMMON CATHODE GP 85V 125MA SOT23-3"
"J1","SMS-138-01-G-S","datasheets/sms_th.pdf","000_LOCAL:SMS-138-01-x-x_pcb_edge","1","","SMS-138-01-G-S","CONN SKT .050"" 38POS"
"R1","200K","~","000_LOCAL:R_0805","1","","CRCW0805200KFKEA","RES SMD 200K OHM 1% 1/8W 0805"
"R2","1K","~","000_LOCAL:R_0805","1","","CRCW08051K00FKEA","RES SMD 1K OHM 1% 1/8W 0805"
"U1","628128_TSOP","datasheets/AS6C1008.pdf","000_LOCAL:TSOP32-dual","1","","AS6C1008-55STIN","IC SRAM 1MBIT PARALLEL 32STSOP"
