"Reference","Value","Datasheet","Footprint","Qty","DNP","Description","MPN"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12","1u","~","0_LOCAL:C_0805_1mm","12","","CAP CER 1UF 50V X7R 0805","CL21B105KBFNFNE"
"D1","BAT54CDW","datasheets/BAT54CDW.pdf","0_LOCAL:TSSOP-6-symmetric","1","","DIODE ARR SCHOT 30V 200MA SOT363","BAT54CDW-7-F"
"J1","SMS-138-01-G-S","datasheets/sms_th.pdf","0_LOCAL:SMS-138-01-x-x_edge","1","","CONN SOCKET .050"" 38POS","SMS-138-01-G-S"
"R1,R2,R3,R4","200k","~","0_LOCAL:R_0805","4","","RES 200K OHM 1% 1/8W 0805","RMCF0805FT200K"
"SW1","CUS-14TB","datasheets/cus.pdf","0_LOCAL:SW_SP4T_CUS-14B pth","1","","SWITCH SLIDE SP4T 300MA 4V","CUS-14TB"
"U1","MR2A08xxYSxxx","datasheets/MR2A08A.pdf","0_LOCAL:TSOP-II-44_10.16x18.41mm_P0.8mm","1","","IC MRAM 4MBIT PARALLEL 44TSOP2","MR2A08AYS35"
"U2","MIC5317-3.3YD5","datasheets/MIC5365.pdf","0_LOCAL:TSOT-23-5","1","","IC REG LIN 3.3V 150MA TSOT23-5","MIC5317-3.3YD5"
"U3,U4,U5,U6","4245","datasheets/LVC4245.pdf","0_LOCAL:TSSOP-24_4.4x7.8mm_P0.65mm","4","","IC TRANSLATOR BIDIR 24TSSOP","74LVC4245APW,118"
