"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"J1","SMS-138-01-G-S","~","000_LOCAL:SMS-138-01-x-x_pcb_edge","1","","SMS-138-01-G-S"
"J2","Conn_02x19_Odd_Even_PCB_Edge","~","000_LOCAL:Pin-Header_2x19_P2.54mm_PCB_Edge","1","","PRPC019DAAN-RC"
