"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","448-FM28V100-TG-ND","FM28V100-TG","IC FRAM 1MBIT PARALLEL 32TSOP I","","1","0","23.96000","23.96"
"2","4","296-21527-1-ND","TXB0108PWR","IC TRANSLATOR BIDIR 20TSSOP","","4","0","1.74000","6.96"
"3","1","576-4085-1-ND","MIC5365-3.3YD5-TR","IC REG LIN 3.3V 150MA TSOT23-5","","1","0","0.22000","0.22"
"4","10","311-4266-1-ND","CC0805JRX7R7BB104","CAP CER 0.1UF 16V X7R 0805","","10","0","0.07700","0.77"
"5","2","399-C0805C105J4RAC7800CT-ND","C0805C105J4RAC7800","CAP CER 1UF 16V X7R 0805","C4","2","0","0.32000","0.64"
"6","1","SMS-138-01-G-S-ND","SMS-138-01-G-S","CONN SKT .050"" 38POS","","1","0","9.62000","9.62"
