"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","SAM15874-ND","TMS-140-01-S-S",".050"" (1.27MM) MICRO HEADER","","1","0","6.69000","6.69"
"2","1","S1011EC-40-ND","PRPC040SAAN-RC","CONN HEADER VERT 40POS 2.54MM","","1","0","0.66000","0.66"
"3","1","S2211EC-08-ND","PRPC008DFAN-RC","CONN HEADER VERT 16POS 2.54MM","","1","0","0.45000","0.45"
"4","4","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","4","0","0.10000","0.40"
