"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","S1011EC-40-ND","PRPC040SAAN-RC","CONN HEADER VERT 40POS 2.54MM","","1","0","0.66000","0.66"
"2","1","SAM15874-ND","TMS-140-01-S-S",".050"" (1.27MM) MICRO HEADER","","1","0","4.88000","4.88"
