"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","36-3026-ND","3026","BATT RETAINER COIN 20MM 1CEL SMD","BT1","1","0","0.57000","0.57"
"2","1","SY138-ND","CR2016","BATTERY LITHIUM 3V COIN 20MM","","1","0","0.51000","0.51"
"3","1","1450-1019-ND","AS6C1008-55STIN","IC SRAM 1MBIT PARALLEL 32STSOP","U1","1","0","3.33000","3.33"
"4","1","SMS-138-01-G-S-ND","SMS-138-01-G-S","CONN SKT .050"" 38POS","J1","1","0","9.62000","9.62"
"5","2","311-47.0KCRCT-ND","RC0805FR-0747KL","RES 47K OHM 1% 1/8W 0805","R1, R2","2","0","0.10000","0.20"
"6","1","1727-2902-1-ND","BAT54C,215","DIODE ARRAY SCHOTTKY 30V SOT23","DA1","1","0","0.20000","0.20"
"7","1","732-8045-1-ND","885012207045","CAP CER 0.1UF 16V X7R 0805","","1","0","0.10000","0.10"
"8","1","1276-2725-1-ND","CL31A226KOCLFNC","CAP CER 22UF 16V X5R 1206","","1","0","0.42000","0.42"
"9","1","1276-6780-1-ND","CL21A226MOCLRNC","CAP CER 22UF 16V X5R 0805","","1","0","0.32000","0.32"
