"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","1SS389L3FCT-ND","1SS389,L3F","DIODE SCHOTTKY 10V 100MA ESC","","2","0","0.20000","0.40"
"2","1","A129745CT-ND","CRGCQ0805F470R","CRGCQ 0805 470R 1%","","1","0","0.10000","0.10"
"3","1","706-1309-1-ND","IS62C1024AL-35TLI-TR","IC SRAM 1M PARALLEL 32TSOP I","","1","0","1.75000","1.75"
"4","1","36-3029-ND","3029","BATTERY HOLDER COIN 20MM PC PIN","","1","0","0.66000","0.66"
"5","1","SY138-ND","CR2016","BATTERY LITHIUM 3V COIN 20MM","","1","0","0.44000","0.44"
"6","1","311-47.0KCRCT-ND","RC0805FR-0747KL","RES SMD 47K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"7","1","SMS-138-01-G-S-ND","SMS-138-01-G-S","CONN SKT .050"" 38POS","","1","0","6.96000","6.96"
