"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","706-1042-ND","IS62C1024AL-35TLI","IC SRAM 1M PARALLEL 32TSOP I","","1","0","1.75000","1.75"
"2","1","SMS-138-01-G-S-ND","SMS-138-01-G-S","CONN SKT .050"" 38POS","","1","0","6.96000","6.96"
"3","1","A126392CT-ND","CRG0805J470R","RES SMD 470 OHM 5% 1/8W 0805","","1","0","0.10000","0.10"
"4","1","311-47.0KCRCT-ND","RC0805FR-0747KL","RES SMD 47K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"5","1","1SS389L3FCT-ND","1SS389,L3F","DIODE SCHOTTKY 10V 100MA ESC","","1","0","0.20000","0.20"
