"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","SMS-138-01-G-S-ND","SMS-138-01-G-S","CONN SKT .050"" 38POS","","1","0","6.94000","6.94"
"2","1","3757-BAT54CDW_R1_00001CT-ND","BAT54CDW_R1_00001","SOT-363, SKY","","1","0","0.33000","0.33"
"3","1","563-1104-1-ND","CUS-14TB","SWITCH SLIDE SP4T 300MA 4V","","1","0","0.67000","0.67"
"4","12","399-C0805C105K4RAC7800CT-ND","C0805C105K4RAC7800","CAP CER 1UF 16V X7R 0805","","12","0","0.09100","1.09"
"5","1","MIC5317-3.3YD5-CT-ND","MIC5317-3.3YD5-TR","IC REG LIN 3.3V 150MA TSOT23-5","","0","1","0.25000","0.25"
"6","4","1727-4308-1-ND","74LVC4245APW,118","IC TRANSLATOR BIDIR 24TSSOP","","4","0","0.81000","3.24"
"7","10","RMCF0805JT200KCT-ND","RMCF0805JT200K","RES 200K OHM 5% 1/8W 0805","","10","0","0.01700","0.17"
"8","1","819-1003-ND","MR2A08ACYS35","IC RAM 4MBIT PARALLEL 44TSOP2","","1","0","32.50000","32.50"
